,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,위도,경도,full name
0,중부서,2,2,3,2,105,65,"1,395",477,"1,355","1,170",37.5636465,126.9895796,대한민국 서울특별시 중구 을지로동 수표로 27
1,종로서,3,3,6,5,115,98,"1,070",413,"1,278","1,070",37.5755578,126.9848674,대한민국 서울특별시 종로구 종로1.2.3.4가동 율곡로 46
2,남대문서,1,0,6,4,65,46,"1,153",382,869,794,37.5547584,126.9734981,대한민국 서울특별시 중구 남대문로5가 한강대로 410
3,서대문서,2,2,5,4,154,124,"1,812",738,"2,056","1,711",37.5647848,126.9667762,대한민국 서울특별시 서대문구 미근동 통일로 113
4,혜화서,3,2,5,4,96,63,"1,114",424,"1,015",861,37.5718401,126.9988562,대한민국 서울특별시 종로구 종로1.2.3.4가동 창경궁로 112-16
5,용산서,5,5,14,14,194,173,"1,557",587,"2,050","1,704",37.5411211,126.9676935,대한민국 서울특별시 용산구 원효로1가 12-12
6,성북서,2,2,2,1,86,71,953,409,"1,194","1,015",37.5897271,127.0161318,대한민국 서울특별시 성북구 삼선동5가 301
7,동대문서,5,5,13,13,173,146,"1,981",814,"2,548","2,227",37.58506149999999,127.0457679,대한민국 서울특별시 동대문구 청량리동 약령시로21길 29
8,마포서,8,8,14,10,294,247,"2,555",813,"2,983","2,519",37.550814,126.954028,대한민국 서울특별시 마포구 아현동 618-1
9,영등포서,14,12,22,20,295,183,"2,964",978,"3,572","2,961",37.5257884,126.901006,대한민국 서울특별시 영등포구 당산동3가 2-11
10,성동서,4,4,9,8,126,119,"1,607",597,"1,612","1,395",37.5617309,127.0363806,대한민국 서울특별시 성동구 행당동 192-8
11,동작서,5,5,9,5,285,139,"1,865",661,"1,910","1,587",37.5130685,126.9428078,대한민국 서울특별시 동작구 노량진동 72
12,광진서,4,4,14,26,240,220,"3,026","1,277","2,625","2,180",37.542873,127.083821,대한민국 서울특별시 광진구 구의1동 자양로 167
13,서부서,2,2,2,1,70,59,819,293,"1,192","1,038",37.6128611,126.9274951,대한민국 서울특별시 은평구 대조동 통일로 757
14,강북서,7,8,14,13,153,126,"1,434",618,"2,649","2,348",37.6373881,127.0273238,대한민국 서울특별시 강북구 번1동 415-15
15,금천서,3,4,6,6,151,122,"1,567",888,"2,054","1,776",37.4814051,126.9099508,대한민국 서울특별시 관악구 신림동 544
16,중랑서,13,12,11,9,187,148,"2,135",829,"2,847","2,407",37.618692,127.1047136,대한민국 서울특별시 중랑구 신내1동 신내역로3길 40-10
17,강남서,3,3,15,12,300,225,"2,411",984,"2,465","2,146",37.5094352,127.0669578,대한민국 서울특별시 강남구 대치동 998
18,관악서,9,8,12,14,320,221,"2,706",827,"3,298","2,642",37.4743789,126.9509748,대한민국 서울특별시 관악구 봉천동
19,강서서,7,8,13,13,262,191,"2,096","1,260","3,207","2,718",37.5397827,126.8299968,대한민국 서울특별시 양천구 신월동 화곡로 73
20,강동서,4,3,6,8,156,123,"2,366",789,"2,712","2,248",37.528511,127.1268224,대한민국 서울특별시 강동구 성내1동 성내로 57
21,종암서,3,3,3,3,64,53,832,332,"1,015",840,37.6020592,127.0321577,대한민국 서울특별시 성북구 종암동 3-1260
22,구로서,8,6,15,11,281,164,"2,335",889,"3,007","2,432",37.494931,126.886731,대한민국 서울특별시 구로구 가마산로 235
23,서초서,7,4,8,5,334,193,"1,982",905,"1,852","1,607",37.4956054,127.0052504,대한민국 서울특별시 서초구 서초3동 반포대로 179
24,양천서,3,5,6,3,120,105,"1,890",672,"2,509","2,030",37.5165667,126.8656763,대한민국 서울특별시 양천구 신정6동 목동동로 99
25,송파서,11,10,13,10,220,178,"3,239","1,129","3,295","2,786",37.5019065,127.1271513,대한민국 서울특별시 송파구 가락본동 9
26,노원서,10,10,7,7,197,121,"2,193",801,"2,723","2,329",37.6423605,127.0714027,대한민국 서울특별시 노원구 하계동 노원로 283
27,방배서,1,2,1,1,59,56,653,186,547,491,37.4815453,126.9829992,대한민국 서울특별시 서초구 방배2동 455-10
28,은평서,1,1,7,5,96,82,"1,095",418,"1,461","1,268",37.6283597,126.9287226,대한민국 서울특별시 은평구 불광2동 연서로 365
29,도봉서,3,3,9,10,102,106,"1,063",478,"1,487","1,303",37.6533589,127.052682,대한민국 서울특별시 도봉구 창4동 노해로 403
30,수서서,10,7,6,6,149,124,"1,439",666,"1,819","1,559",37.49349,127.0772119,대한민국 서울특별시 강남구 개포동 개포로 617
